X_avg 	Y_series0	
-133.635	-3821.10024	
-134.45499999999998	-3820.31347	
-135.275	-3818.5150599999997	
-136.095	-3815.57856	
-136.91500000000002	-3811.25669	
-137.73499999999999	-3803.3215300000006	
-138.555	-3791.45256	
-139.375	-3778.15243	
-140.195	-3756.7862500000006	
-141.01500000000001	-3726.2099700000003	
-141.83499999999998	-3693.3885799999994	
-142.655	-3659.09095	
-143.475	-3623.2299	
-144.29500000000002	-3584.97659	
-145.11499999999998	-3544.66628	
-145.935	-3504.61964	
-146.755	-3467.4650000000006	
-147.57500000000002	-3432.061199999999	
-148.395	-3395.2862600000003	
-149.21499999999997	-3359.2369499999995	
-150.035	-3325.2079400000002	
-150.855	-3288.35986	
-151.675	-3247.26437	
-152.495	-3207.343610000001	
-153.315	-3167.6623999999993	
-154.135	-3125.3679500000003	
-154.955	-3086.814730000001	
-155.775	-3046.8786699999996	
-156.595	-3008.96175	
-157.415	-2974.2760599999997	
-158.23499999999999	-2940.4189700000006	
-159.055	-2911.20979	
-159.875	-2884.28125	
-160.695	-2861.9470899999997	
-161.515	-2838.0208300000004	
-162.335	-2816.98023	
-163.155	-2797.3432500000004	
-163.97500000000002	-2779.0514700000003	
-164.795	-2761.02716	
-165.615	-2739.55617	
-166.435	-2724.9353	
-167.255	-2709.49773	
-168.075	-2694.9381400000007	
-168.89499999999998	-2681.68793	
-169.715	-2669.8582600000004	
-170.535	-2657.76652	
-171.35500000000002	-2646.4633599999997	
-172.17499999999998	-2635.8569899999998	
-172.995	-2625.8219700000004	
-173.815	-2616.3882400000007	
-174.63500000000002	-2607.40785	
-175.455	-2598.90338	
-176.27499999999998	-2590.4703900000004	
-177.095	-2583.0756500000007	
-177.915	-2576.30892	
-178.735	-2570.35497	
-179.55499999999998	-2564.95282	
-180.375	-2559.5330200000008	
-181.195	-2554.5323399999993	
-182.01500000000001	-2549.87604	
-182.835	-2546.17733	
-183.655	-2541.1930300000004	
-184.475	-2536.55638	
-185.295	-2532.0895299999997	
-186.115	-2527.7745200000004	
-186.935	-2523.62384	
-187.755	-2519.77056	
-188.575	-2515.7217499999997	
-189.395	-2511.35786	
-190.215	-2507.1508499999995	
-191.035	-2502.84786	
-191.855	-2498.97977	
-192.675	-2495.1598400000003	
-193.495	-2491.39404	
-194.315	-2487.66434	
-195.135	-2483.9671	
-195.95499999999998	-2480.32041	
-196.775	-2476.7157300000003	
-197.595	-2473.13399	
-198.41500000000002	-2469.6636100000005	
-199.23499999999999	-2466.16586	
-200.055	-2462.6690299999996	
-200.875	-2459.19276	
-201.69500000000002	-2455.76	
-202.515	-2452.3946600000004	
-203.33499999999998	-2449.02949	
-204.155	-2445.6497900000004	
-204.975	-2442.3224699999996	
-205.79500000000002	-2439.00343	
-206.61499999999998	-2435.68955	
-207.435	-2432.370259	
-208.255	-2429.0650480000004	
-209.07500000000002	-2425.7655500000005	
-209.895	-2422.464547	
-210.715	-2419.3806420000005	
-211.535	-2415.9232240000006	
-212.355	-2412.576046	
-213.175	-2409.267263	
-213.995	-2405.9851950000007	
-214.815	-2402.7154909999995	
-215.635	-2399.5538810000003	
-216.455	-2396.5522759999994	
-217.275	-2393.1149669999995	
-218.095	-2389.755514	
-218.915	-2386.4243780000006	
-219.735	-2383.111346	
-220.555	-2379.8019170000002	
-221.375	-2376.483605	
-222.195	-2373.406435	
-223.015	-2369.906067	
-223.835	-2366.507615	
-224.655	-2363.1398250000007	
-225.47500000000002	-2359.77797	
-226.295	-2356.420455	
-227.115	-2353.0645310000004	
-227.935	-2349.7067710000006	
-228.755	-2346.630647	
-229.575	-2342.9638600000008	
-230.39499999999998	-2339.452672000001	
-231.215	-2336.0312740000004	
-232.035	-2332.651184	
-232.85500000000002	-2329.291435	
-233.67499999999998	-2325.9335350000006	
-234.495	-2322.57813	
-235.315	-2319.5774789999996	
-236.13500000000002	-2315.966969	
-236.955	-2312.652231	
-237.77499999999998	-2309.340138	
-238.595	-2306.134301	
-239.415	-2302.8802500000006	
-240.235	-2299.585184	
-241.05499999999998	-2296.26456	
-241.875	-2292.9227530000003	
-242.695	-2289.566245	
-243.51500000000001	-2286.2049110000003	
-244.335	-2282.851115	
-245.155	-2279.499151	
-245.975	-2276.144959	
-246.795	-2272.786607	
-247.615	-2269.431833	
-248.435	-2266.0748140000005	
-249.255	-2262.713612	
-250.075	-2259.349953	
-250.89499999999998	-2255.9814939999997	
-251.71500000000003	-2252.6171789999994	
-252.535	-2249.2550740000006	
-253.355	-2245.891656	
-254.17499999999998	-2242.5284890000003	
-254.99500000000003	-2239.165575	
-255.81500000000003	-2235.803528	
-256.635	-2232.4395250000007	
-257.455	-2229.0785730000002	
-258.275	-2225.723031	
-259.095	-2222.372192	
-259.915	-2219.029235	
-260.735	-2215.684446	
-261.555	-2212.344265	
-262.375	-2209.005654	
-263.195	-2205.669412	
-264.015	-2202.334041	
-264.835	-2198.993658	
-265.655	-2195.6514140000004	
-266.475	-2192.3138169999997	
-267.295	-2188.972069	
-268.115	-2185.633066	
-268.935	-2182.2923299999998	
-269.755	-2178.9543439999998	
-270.575	-2175.6123060000004	
-271.395	-2172.274018	
-272.215	-2168.9231660000005	
-273.035	-2165.5679090000003	
-273.855	-2162.218107	
-274.675	-2158.8678560000003	
-275.495	-2155.5219600000005	
-276.315	-2152.173517	
-277.13500000000005	-2148.829635	
-277.955	-2145.483792	
-278.775	-2142.135298	
-279.59499999999997	-2138.791651	
-280.415	-2135.445552	
-281.235	-2132.0992969999998	
-282.055	-2128.7531757999996	
-282.875	-2125.4059963999994	
-283.695	-2122.058659	
-284.51500000000004	-2118.7128627	
-285.335	-2115.3661071	
-286.155	-2112.0197005	
-286.97499999999997	-2108.671383	
-287.795	-2105.3246048999995	
-288.615	-2101.9787161	
-289.435	-2098.6376997999996	
-290.255	-2095.293569	
-291.075	-2091.9480537	
-291.89500000000004	-2088.6034228	
-292.715	-2085.2575004	
-293.53499999999997	-2081.9043315	
-294.35499999999996	-2078.5534392	
-295.175	-2075.1972487999997	
-295.995	-2071.8442074	
-296.815	-2068.4862683	
-297.635	-2065.1319264000003	
-298.45500000000004	-2061.7852616	
-299.27500000000003	-2058.4417254	
-300.095	-2055.0980622	
-300.91499999999996	-2051.7512224	
-301.73499999999996	-2048.4060717	
-302.555	-2044.6927571	
-303.375	-2041.4578277	
-304.195	-2037.9557193000003	
-305.015	-2034.193846	
-305.83500000000004	-2031.0846442	
-306.65500000000003	-2027.7254597	
-307.475	-2024.0434305999997	
-308.29499999999996	-2020.9842864999998	
-309.11499999999995	-2017.2155851000002	
-309.935	-2014.2189053	
-310.755	-2010.5262731000003	
-311.575	-2007.5307637999997	
-312.395	-2003.8510786999998	
-313.21500000000003	-2000.8444661	
-314.035	-1997.206205	
-314.855	-1994.1786850000003	
-315.675	-1990.676152	
-316.495	-1987.605472	
-317.315	-1984.020621	
-318.135	-1980.9267340000006	
-318.955	-1977.5831580000006	
-319.775	-1974.395206	
-320.595	-1970.833386	
-321.415	-1967.654095	
-322.235	-1964.1798580000002	
-323.055	-1961.0330259999996	
-323.875	-1957.826554	
-324.695	-1954.560124	
-325.515	-1951.116384	
-326.335	-1947.877199	
-327.155	-1944.503449	
-327.975	-1941.294454	
-328.795	-1938.1732279999999	
-329.615	-1934.8340200000002	
