X_avg 	Y_series0	
-0.0433136	-5.500000000252525e-05	
0.0217558	-563.29107	
0.0781773	-1094.3117200000002	
0.128127	-1565.8499140000001	
0.199852	-1949.2360200000003	
0.27386	-2302.9138800000005	
0.347055	-2633.49241	
0.415274	-2938.7277799999997	
0.477501	-3219.1643000000004	
0.535085	-3471.9982999999997	
0.589158	-3699.0328000000004	
0.639312	-3903.9799000000007	
0.685019	-4087.9864000000002	
0.7248009999999999	-4251.3528	
0.760409	-4403.248800000001	
0.79347	-4543.8342999999995	
0.8235990000000001	-4676.316400000001	
0.850317	-4802.885300000001	
0.874202	-4923.0740000000005	
0.894458	-5033.7802	
0.912009	-5138.8468	
0.928118	-5241.8329	
0.9422560000000001	-5341.546	
0.9548329999999999	-5437.7328	
0.9647199999999999	-5529.317800000001	
0.9724360000000001	-5616.817899999999	
0.977835	-5699.8538	
1.02979	-5816.8868	
1.0632700000000002	-5913.0556	
1.08618	-5998.141300000001	
1.1016299999999999	-6075.073	
1.11135	-6145.491499999999	
1.11652	-6210.194200000001	
1.1181400000000001	-6269.2384999999995	
1.11682	-6323.3319	
1.11314	-6373.126799999999	
1.10831	-6419.7325	
1.1035599999999999	-6463.313700000001	
1.0995	-6504.3076	
1.09758	-6542.628299999999	
1.09956	-6577.5134	
1.10756	-6607.541	
1.1198899999999998	-6634.349	
1.14719	-6655.0421000000015	
1.1936	-6668.292200000001	
1.2559699999999998	-6676.1469	
1.3344699999999998	-6678.449	
1.43773	-6669.669200000001	
1.56559	-6650.5209	
1.7127	-6626.974199999999	
1.87496	-6600.077499999999	
2.04813	-6570.760599999999	
2.23037	-6539.847699999999	
2.42019	-6507.7174	
2.61848	-6474.5719	
2.8239300000000003	-6440.3625	
3.0369099999999998	-6406.2049	
3.25562	-6371.6518000000015	
3.4807200000000003	-6336.341200000001	
3.70968	-6300.1262	
3.9354400000000003	-6263.7986	
4.168329999999999	-6227.3442	
4.40616	-6190.6736	
4.6463399999999995	-6153.446599999999	
4.88934	-6116.438800000001	
5.134869999999999	-6080.008299999999	
5.38382	-6044.704	
5.63594	-6008.864499999999	
5.89266	-5973.210900000001	
6.15135	-5937.2891	
6.41085	-5901.3199	
6.67083	-5865.600400000001	
6.9315999999999995	-5830.008000000001	
7.19254	-5794.5109	
7.45392	-5759.202099999999	
7.715129999999999	-5724.2004	
7.97533	-5689.5498	
8.23386	-5655.3212	
8.49041	-5621.0483	
8.7462	-5586.4149	
9.001570000000001	-5554.5406	
9.25733	-5521.9302	
9.514059999999999	-5489.2302	
9.77098	-5457.3794	
10.0274	-5425.4217	
10.2858	-5394.487600000001	
10.5496	-5363.163299999999	
10.815800000000001	-5331.582800000001	
11.0823	-5301.2103	
11.3491	-5271.2453000000005	
11.6182	-5240.1094	
11.8892	-5208.902000000001	
12.1609	-5178.495400000001	
12.4321	-5149.004200000001	
12.6999	-5119.3521	
12.9655	-5089.9313	
13.23	-5060.6675000000005	
13.4942	-5031.610600000001	
13.7594	-5002.747400000001	
14.025599999999999	-4974.0704000000005	
14.2936	-4945.574100000001	
14.5638	-4917.2405	
14.8351	-4888.991500000001	
15.1071	-4860.8472	
15.3806	-4832.8505000000005	
15.656099999999999	-4805.0012	
15.934199999999999	-4777.2807	
16.2141	-4749.6361	
16.4952	-4722.09	
16.777299999999997	-4694.6894999999995	
17.0604	-4667.487200000001	
17.3443	-4640.365	
17.6291	-4612.9247000000005	
17.915899999999997	-4585.582299999999	
18.205	-4558.318500000001	
18.496100000000002	-4531.3532000000005	
18.789299999999997	-4504.5945	
19.084500000000002	-4477.8637	
19.3815	-4451.1881	
19.6798	-4424.5178000000005	
19.979400000000002	-4397.8969	
20.2793	-4371.345799999999	
20.580299999999998	-4344.830000000001	
20.8816	-4318.3821	
21.183899999999998	-4291.9743	
21.4863	-4265.655000000001	
21.7897	-4239.549099999999	
22.0935	-4213.7793	
22.3976	-4188.05534	
22.701099999999997	-4162.637210000001	
23.0039	-4137.35707	
23.3065	-4111.92304	
23.6096	-4086.2814599999997	
23.9133	-4060.6597699999993	
24.2182	-4035.17682	
24.5241	-4009.6723099999995	
24.8344	-3983.1424000000006	
25.1389	-3960.622280000001	
25.4296	-3945.27012	
25.7123	-3931.9785500000003	
25.9905	-3919.722859999999	
26.2657	-3908.29837	
26.5416	-3896.6174400000004	
26.8154	-3885.3330200000005	
27.087400000000002	-3874.326289999999	
27.3582	-3863.35163	
27.6282	-3852.5774900000006	
27.8976	-3841.7434500000004	
28.1667	-3831.0696799999996	
28.4353	-3820.2679700000003	
28.7041	-3809.63856	
28.967799999999997	-3801.25118	
29.218700000000002	-3797.6220499999995	
29.4559	-3798.6590400000005	
29.6851	-3800.9402500000006	
29.909299999999998	-3803.57944	
30.1302	-3806.6847	
30.3484	-3809.8481600000005	
30.564500000000002	-3812.93314	
30.7787	-3815.47876	
30.9911	-3817.6243500000005	
31.1997	-3819.5820100000005	
31.403599999999997	-3820.70552	
31.6018	-3821.10024	
31.795299999999997	-3820.31347	
31.983600000000003	-3818.5150599999997	
32.1669	-3815.57856	
32.344199999999994	-3811.25669	
32.5113	-3803.3215300000006	
32.6648	-3791.45256	
32.804899999999996	-3778.15243	
32.9288	-3756.7862500000006	
33.033500000000004	-3726.2099700000003	
33.1162	-3693.3885799999994	
33.178399999999996	-3659.09095	
33.2226	-3623.2299	
33.251000000000005	-3584.97659	
33.2651	-3544.66628	
33.2614	-3504.61964	
33.2548	-3467.4650000000006	
33.2442	-3432.061199999999	
33.2279	-3395.2862600000003	
33.2058	-3359.2369499999995	
33.1858	-3325.2079400000002	
33.1594	-3288.35986	
33.1212	-3247.26437	
33.0603	-3207.343610000001	
32.9737	-3167.6623999999993	
32.856	-3125.3679500000003	
32.703500000000005	-3086.814730000001	
32.547	-3046.8786699999996	
32.3832	-3008.96175	
32.230399999999996	-2974.2760599999997	
32.097100000000005	-2940.4189700000006	
32.003099999999996	-2911.20979	
31.9387	-2884.28125	
31.923399999999997	-2861.9470899999997	
31.9529	-2838.0208300000004	
32.0034	-2816.98023	
32.072900000000004	-2797.3432500000004	
32.1501	-2779.0514700000003	
32.236399999999996	-2761.02716	
32.3279	-2739.55617	
32.4282	-2724.9353	
32.5364	-2709.49773	
32.6516	-2694.9381400000007	
32.771300000000004	-2681.68793	
32.896	-2669.8582600000004	
33.024699999999996	-2657.76652	
33.1538	-2646.4633599999997	
33.2851	-2635.8569899999998	
33.4168	-2625.8219700000004	
33.5477	-2616.3882400000007	
33.6773	-2607.40785	
33.8078	-2598.90338	
33.9399	-2590.4703900000004	
34.0748	-2583.0756500000007	
34.2113	-2576.30892	
34.348	-2570.35497	
34.486999999999995	-2564.95282	
34.6274	-2559.5330200000008	
34.769099999999995	-2554.5323399999993	
34.9104	-2549.87604	
35.0522	-2546.17733	
35.195	-2541.1930300000004	
35.339299999999994	-2536.55638	
35.4842	-2532.0895299999997	
35.629599999999996	-2527.7745200000004	
35.7757	-2523.62384	
35.922599999999996	-2519.77056	
36.0709	-2515.7217499999997	
36.2207	-2511.35786	
36.3718	-2507.1508499999995	
36.5241	-2502.84786	
36.676899999999996	-2498.97977	
36.8305	-2495.1598400000003	
36.984700000000004	-2491.39404	
37.1398	-2487.66434	
37.2951	-2483.9671	
37.450700000000005	-2480.32041	
37.606300000000005	-2476.7157300000003	
37.7622	-2473.13399	
37.918	-2469.6636100000005	
38.074200000000005	-2466.16586	
